TITLE="Cl and CD Data"
VARIABLES="AoA1","C_L","AoA2","C_D"
ZONE T="Re=5E5 (JavaFoil, trans 5%)", I=26, F=POINT
-10.0 -0.709 -10.0  0.03027
 -9.0 -0.595  -9.0  0.02792
 -8.0 -0.480  -8.0  0.02597
 -7.0 -0.364  -7.0  0.02430
 -6.0 -0.247  -6.0  0.02288
 -5.0 -0.128  -5.0  0.02170
 -4.0 -0.009  -4.0  0.02082
 -3.0  0.110  -3.0  0.02018
 -2.0  0.231  -2.0  0.01980
 -1.0  0.352  -1.0  0.01963
  0.0  0.473   0.0  0.01894
  1.0  0.634   1.0  0.01699
  2.0  0.760   2.0  0.01747
  3.0  0.878   3.0  0.01809
  4.0  0.998   4.0  0.01890
  5.0  1.116   5.0  0.01990
  6.0  1.229   6.0  0.02118
  7.0  1.334   7.0  0.02267
  8.0  1.433   8.0  0.02405
  9.0  1.524   9.0  0.02616
 10.0  1.606  10.0  0.02901
 11.0  1.670  11.0  0.03481
 12.0  1.727  12.0  0.04000
 13.0  1.774  13.0  0.04521
 14.0  1.809  14.0  0.05088
 15.0  1.830  15.0  0.05649
 16.0  1.840  16.0  0.06322
ZONE T="Re=1E6 (JavaFoil, trans 5%)", I=26, F=POINT
-10.0 -0.711 -10.0  0.02723
 -9.0 -0.597  -9.0  0.02512
 -8.0 -0.482  -8.0  0.02339
 -7.0 -0.365  -7.0  0.02189
 -6.0 -0.247  -6.0  0.02062
 -5.0 -0.129  -5.0  0.01955
 -4.0 -0.009  -4.0  0.01877
 -3.0  0.110  -3.0  0.01821
 -2.0  0.231  -2.0  0.01781
 -1.0  0.352  -1.0  0.01761
  0.0  0.474   0.0  0.01773
  1.0  0.635   1.0  0.01454
  2.0  0.762   2.0  0.01553
  3.0  0.882   3.0  0.01606
  4.0  1.004   4.0  0.01671
  5.0  1.123   5.0  0.01752
  6.0  1.237   6.0  0.01854
  7.0  1.343   7.0  0.01932
  8.0  1.444   8.0  0.02096
  9.0  1.535   9.0  0.02286
 10.0  1.618  10.0  0.02489
 11.0  1.684  11.0  0.03023
 12.0  1.737  12.0  0.03582
 13.0  1.784  13.0  0.04048
 14.0  1.819  14.0  0.04475
 15.0  1.840  15.0  0.05056
 16.0  1.850  16.0  0.05675
ZONE T="Re=5E6 (JavaFoil, trans 5%)", I=26, F=POINT
-10.0 -0.716 -10.0  0.02144
 -9.0 -0.601  -9.0  0.01981
 -8.0 -0.485  -8.0  0.01846
 -7.0 -0.367  -7.0  0.01727
 -6.0 -0.249  -6.0  0.01627
 -5.0 -0.130  -5.0  0.01542
 -4.0 -0.010  -4.0  0.01479
 -3.0  0.111  -3.0  0.01432
 -2.0  0.233  -2.0  0.01397
 -1.0  0.355  -1.0  0.01377
  0.0  0.477   0.0  0.01376
  1.0  0.636   1.0  0.01169
  2.0  0.765   2.0  0.01201
  3.0  0.887   3.0  0.01237
  4.0  1.011   4.0  0.01148
  5.0  1.134   5.0  0.01289
  6.0  1.253   6.0  0.01377
  7.0  1.363   7.0  0.01468
  8.0  1.467   8.0  0.01570
  9.0  1.561   9.0  0.01690
 10.0  1.646  10.0  0.01828
 11.0  1.712  11.0  0.02149
 12.0  1.766  12.0  0.02626
 13.0  1.814  13.0  0.02950
 14.0  1.849  14.0  0.03326
 15.0  1.869  15.0  0.03800
 16.0  1.877  16.0  0.04290
ZONE T="Re=1E7 (JavaFoil, trans 5%)", I=26, F=POINT
-10.0 -0.718 -10.0  0.01936
 -9.0 -0.603  -9.0  0.01790
 -8.0 -0.487  -8.0  0.01665
 -7.0 -0.369  -7.0  0.01559
 -6.0 -0.250  -6.0  0.01469
 -5.0 -0.130  -5.0  0.01390
 -4.0 -0.010  -4.0  0.01334
 -3.0  0.111  -3.0  0.01289
 -2.0  0.234  -2.0  0.01256
 -1.0  0.356  -1.0  0.01238
  0.0  0.479   0.0  0.01232
  1.0  0.636   1.0  0.01046
  2.0  0.765   2.0  0.01073
  3.0  0.887   3.0  0.01053
  4.0  1.014   4.0  0.01118
  5.0  1.137   5.0  0.01114
  6.0  1.256   6.0  0.01252
  7.0  1.369   7.0  0.01332
  8.0  1.475   8.0  0.01411
  9.0  1.569   9.0  0.01492
 10.0  1.652  10.0  0.01676
 11.0  1.725  11.0  0.01865
 12.0  1.779  12.0  0.02294
 13.0  1.827  13.0  0.02581
 14.0  1.863  14.0  0.02898
 15.0  1.886  15.0  0.03271
 16.0  1.891  16.0  0.03738
ZONE T="Re=5E7 (JavaFoil, trans 5%)", I=26, F=POINT
-10.0 -0.724 -10.0  0.01537
 -9.0 -0.608  -9.0  0.01405
 -8.0 -0.491  -8.0  0.01290
 -7.0 -0.372  -7.0  0.01207
 -6.0 -0.252  -6.0  0.01137
 -5.0 -0.131  -5.0  0.01075
 -4.0 -0.010  -4.0  0.01030
 -3.0  0.112  -3.0  0.00994
 -2.0  0.236  -2.0  0.00964
 -1.0  0.360  -1.0  0.00947
  0.0  0.483   0.0  0.00900
  1.0  0.636   1.0  0.00795
  2.0  0.765   2.0  0.00838
  3.0  0.887   3.0  0.00877
  4.0  1.014   4.0  0.00937
  5.0  1.139   5.0  0.00914
  6.0  1.261   6.0  0.00989
  7.0  1.377   7.0  0.01063
  8.0  1.484   8.0  0.00996
  9.0  1.584   9.0  0.01210
 10.0  1.673  10.0  0.01307
 11.0  1.751  11.0  0.01412
 12.0  1.811  12.0  0.01655
 13.0  1.862  13.0  0.01841
 14.0  1.898  14.0  0.02052
 15.0  1.921  15.0  0.02315
 16.0  1.929  16.0  0.02611
ZONE T="Re=1E8 (JavaFoil, trans 5%)", I=26, F=POINT
-10.0 -0.726 -10.0  0.01419
 -9.0 -0.611  -9.0  0.01265
 -8.0 -0.493  -8.0  0.01165
 -7.0 -0.373  -7.0  0.01080
 -6.0 -0.253  -6.0  0.01005
 -5.0 -0.132  -5.0  0.00950
 -4.0 -0.010  -4.0  0.00906
 -3.0  0.113  -3.0  0.00877
 -2.0  0.237  -2.0  0.00818
 -1.0  0.361  -1.0  0.00833
  0.0  0.486   0.0  0.00852
  1.0  0.636   1.0  0.00775
  2.0  0.765   2.0  0.00823
  3.0  0.887   3.0  0.00760
  4.0  1.014   4.0  0.00797
  5.0  1.139   5.0  0.00844
  6.0  1.261   6.0  0.00904
  7.0  1.377   7.0  0.00953
  8.0  1.488   8.0  0.01026
  9.0  1.588   9.0  0.01009
 10.0  1.679  10.0  0.01015
 11.0  1.760  11.0  0.01247
 12.0  1.824  12.0  0.01449
 13.0  1.877  13.0  0.01590
 14.0  1.915  14.0  0.01760
 15.0  1.938  15.0  0.01970
 16.0  1.948  16.0  0.02205
