TITLE="5MW Offshore Wind Turbine"
VARIABLES="x/c upper","y/c upper","x/c lower","y/c lower"
ZONE T="DU25_A17", I=101, F=POINT
0.00000000  0.00000000  0.00000000  0.00000000
0.00018000  0.00363300  0.00018000 -0.00360300
0.00080000  0.00765600  0.00080000 -0.00777700
0.00177000  0.01109600  0.00177000 -0.01168700
0.00309000  0.01409400  0.00309000 -0.01549200
0.00476000  0.01705600  0.00476000 -0.01921100
0.00678000  0.02007200  0.00678000 -0.02287900
0.00915000  0.02316900  0.00915000 -0.02651800
0.01187000  0.02634600  0.01187000 -0.03018800
0.01495000  0.02960800  0.01495000 -0.03392100
0.01837000  0.03292900  0.01837000 -0.03769500
0.02215000  0.03632300  0.02215000 -0.04152500
0.02627000  0.03976400  0.02627000 -0.04536700
0.03075000  0.04325700  0.03075000 -0.04920900
0.03558000  0.04678700  0.03558000 -0.05302100
0.04076000  0.05034900  0.04076000 -0.05678800
0.04629000  0.05393200  0.04629000 -0.06050600
0.05217000  0.05752800  0.05217000 -0.06417700
0.05840000  0.06113200  0.05840000 -0.06780400
0.06498000  0.06473800  0.06498000 -0.07138700
0.07191000  0.06833800  0.07191000 -0.07492400
0.07919000  0.07192200  0.07919000 -0.07841500
0.08683000  0.07548700  0.08683000 -0.08186400
0.09481000  0.07901500  0.09481000 -0.08525400
0.10315000  0.08250700  0.10315000 -0.08858100
0.11183000  0.08594800  0.11183000 -0.09182300
0.12087000  0.08933600  0.12087000 -0.09497900
0.13026000  0.09266300  0.13026000 -0.09802800
0.13999000  0.09591300  0.13999000 -0.10095400
0.15008000  0.09908500  0.15008000 -0.10375500
0.16052000  0.10216800  0.16052000 -0.10641600
0.17131000  0.10515100  0.17131000 -0.10892300
0.18245000  0.10802500  0.18245000 -0.11125800
0.19395000  0.11077900  0.19395000 -0.11340800
0.20579000  0.11339500  0.20579000 -0.11535800
0.21798000  0.11586300  0.21798000 -0.11709900
0.23053000  0.11817300  0.23053000 -0.11861800
0.24342000  0.12030300  0.24342000 -0.11990200
0.25667000  0.12224200  0.25667000 -0.12093500
0.27000000  0.12393600  0.27000000 -0.12168300
0.28333000  0.12537600  0.28333000 -0.12214200
0.29667000  0.12656000  0.29667000 -0.12232000
0.31000000  0.12748600  0.31000000 -0.12222200
0.32333000  0.12814700  0.32333000 -0.12185600
0.33667000  0.12853200  0.33667000 -0.12122600
0.35000000  0.12863500  0.35000000 -0.12034200
0.36333000  0.12846200  0.36333000 -0.11921700
0.37667000  0.12803200  0.37667000 -0.11785300
0.39000000  0.12738200  0.39000000 -0.11625300
0.40333000  0.12654500  0.40333000 -0.11442300
0.41667000  0.12553600  0.41667000 -0.11236000
0.43000000  0.12436400  0.43000000 -0.11005600
0.44333000  0.12303000  0.44333000 -0.10751500
0.45667000  0.12154000  0.45667000 -0.10473600
0.47000000  0.11990900  0.47000000 -0.10173200
0.48333000  0.11815100  0.48333000 -0.09850900
0.49667000  0.11627900  0.49667000 -0.09507500
0.51000000  0.11429700  0.51000000 -0.09144800
0.52333000  0.11220900  0.52332900 -0.08763900
0.53667000  0.11001400  0.53667000 -0.08366000
0.55000000  0.10772800  0.55000000 -0.07953200
0.56333000  0.10535100  0.56333000 -0.07526900
0.57667000  0.10289000  0.57667000 -0.07087900
0.59000000  0.10035300  0.58999900 -0.06638500
0.60333000  0.09774800  0.60333000 -0.06179800
0.61667000  0.09507100  0.61667000 -0.05713300
0.63000000  0.09232800  0.63000000 -0.05241700
0.64333000  0.08952700  0.64333000 -0.04767300
0.65667000  0.08666600  0.65667000 -0.04293000
0.67000000  0.08375400  0.67000000 -0.03821900
0.68333000  0.08079500  0.68333000 -0.03356900
0.69667000  0.07779100  0.69667000 -0.02900300
0.71000000  0.07475100  0.71000000 -0.02455500
0.72333000  0.07167600  0.72333000 -0.02025800
0.73667000  0.06857300  0.73667000 -0.01613700
0.75000000  0.06544400  0.75000000 -0.01222600
0.76314000  0.06224276  0.76314000 -0.00852276
0.77601000  0.05907452  0.77601000 -0.00515352
0.78863000  0.05593728  0.78863000 -0.00211928
0.80098000  0.05284404  0.80098000  0.00057296
0.81307000  0.04979980  0.81307000  0.00292720
0.82490000  0.04680756  0.82490000  0.00494844
0.83647000  0.04387032  0.83647000  0.00665268
0.84778000  0.04098408  0.84778000  0.00804992
0.85882000  0.03814784  0.85882000  0.00915416
0.86961000  0.03536260  0.86961000  0.00998040
0.88013000  0.03263436  0.88013000  0.01054364
0.89039000  0.02996612  0.89039000  0.01085388
0.90039000  0.02735588  0.90039000  0.01092412
0.91013000  0.02480364  0.91013000  0.01076336
0.91961000  0.02231140  0.91961000  0.01038260
0.92882000  0.01988116  0.92882000  0.00980384
0.93778000  0.01750492  0.93778000  0.00904508
0.94647000  0.01518468  0.94647000  0.00813632
0.95490100  0.01291944  0.95490000  0.00711056
0.96306900  0.01069820  0.96307000  0.00599580
0.97098000  0.00851096  0.97098000  0.00482004
0.97863000  0.00634872  0.97863000  0.00360928
0.98601000  0.00421048  0.98601000  0.00239252
0.99314000  0.00209324  0.99314000  0.00118876
1.00000000  0.00000000  1.00000000  0.00000000
